respID,raceAfricanAmOrBlack,raceAsian,raceWhite,raceIndian,raceMiddleEast,raceLatino,raceNativeAm,racePacificIsl,raceOther,whereLive,religion,religionOther
R_25vh6lSWdZdKy31,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_25X6xA90ap1sUQ9,,,,,,,,,,,,
R_25zoU3EF1lyFOee,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_27DKUdZknL7sgnX,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_27ILsgCUD1g7sov,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_27s7afYrPbtAhkz,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_28Umh7GkbABMTwj,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_29bGgVIRi7amkFT,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_29nBIoaxOWk8CN5,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_29rV902T3kJz7Lj,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2AEFYBBChMtsRrE,,,European/Causasian,,,,,,,Rural area,Spiritual practice not associated with a specific religion,
R_2ALRgZPI9Bbe3dN,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2aqysqG5JdFRxTr,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2ARP96SKeW244Qx,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2asgO3d4GQEUbxn,,,,,,,,,,,,
R_2ASRh7SdsXtAOjx,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2at3c6mGt8m5miM,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2AXP4jfVvyTBqVU,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2b31J9EGse9yJsw,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2bNOEvekAq8Ug3I,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2BnX1rmsT8SyCwc,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2bOvkdjc7lEGRC4,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2c2vpbTqNWXlqHL,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2CHqpW6wvBqpKpq,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2cjW8sQ9J6Pgj7W,,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2cnGIgqk7Hpn3fr,,,,,,,Native American,,,City,Muslim,
R_2cnIglcpAyfUASe,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2Cq7ZbjjE8j2ebI,African American or Black,,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2dEVXIjo7GJBT2u,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2dQlcMgb5HJ4lDz,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2dRWqrlaJt4Fh0B,,,European/Causasian,,,,,,,Suburb,Buddhist,
R_2DS5Rj1IqwVX1j2,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2DSJcjP6lQin2YE,,Asian,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2DVapV4rH4q9QdR,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_2dYfA7O3irdB0ru,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2DZigYQCLmLbe0V,,,,,,,,,,,,
R_2DZxctG8gCwvIBj,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2EnQQZwq8ax3Zaa,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2EpbQeh20Jx8O9c,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2ePXWkLoFG58cgH,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2eXwiOe0fOGc3eb,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2ffTW6TwfD8ofMy,African American or Black,,,,,,,,,Suburb,Do not actively practice a particular religion,
R_2fvrqDPKbip0ukB,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2lASIbCGQHsd9OJ,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2PhtJc1ueEAg5N0,,,,,,,,,,,,
R_2pStTQjKdYqmiA6,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2q8Dn9arlMQD6DX,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2qCAIqJUUJsfqso,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2QKHa21zEU1Os3x,,,European/Causasian,,,,,,,Suburb,Other,Atheist
R_2qmdkAwFqIdTaeU,,Asian,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2qsks8WpT7PEjX2,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2QunX4gNPfNOePr,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2qz8Kl5SYdp2Bps,,,,,,,,,,,,
R_2R2Zt3SV1izwdl7,,,,,,,,,,,,
R_2rCQQpZB5A4Z82M,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2rGRnzCDMw84Yxa,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2rO2fSekb6Q038f,,Asian,,,,,,,,Suburb,Do not actively practice a particular religion,
R_2rVhEm8J2Br6Tdn,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2RWZrrdrCsWbsiX,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2rxwkpsHtpnyyf8,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2s0E5FeLXk7pKGw,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2S192b41xvzS14N,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2S303ooxp51jZWL,,,,,,,,,,,,
R_2s5P5FzZhgLphBp,,,,Indian,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_2SAnc8qQGQKIAAV,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2SccxHUWpyHbHOH,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2SDGGLqENchFn2B,,,,,,,,,,,,
R_2SGkxYKMke5cnip,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2SqKbdEPK6LgQY9,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2tF3tSyRbYWwH6K,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2tFq7V9ouOI4VYE,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2TMpnaK4jplZUjQ,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2TtQKp8R0PSIzGF,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2ttWGOijnxUr9dV,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_2tutGSbLItT3l1m,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2TZrAhMJrRHQFj2,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_2U4lMuprgExy4Qj,,,,,,,,,,,,
R_2UgQb8cmQL1ypts,,Asian,,,,,,,,City,Do not actively practice a particular religion,
R_2UirVyiRTuLuQrT,,Asian,,,,,,,,Rural area,Do not actively practice a particular religion,
R_2uNzSql3t20gl13,,,,,,,,,,,,
R_2uqz6oFtsxpSj8y,,,European/Causasian,,,,,,,Rural area,Spiritual practice not associated with a specific religion,
R_2uuQ4SbgrCqKhwt,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2UVmcrWhBysDXVm,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2uwzOLe53vwZCpt,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2UYiCeNdtoJjSz9,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_2v8ETmaXLsABw4J,,,,,,,,,White,Suburb,Do not actively practice a particular religion,
R_2VBAsCETHiJSH8I,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2VEAkSFbI0uLhGZ,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2VfHoo6uokmQlRj,,,European/Causasian,,,,,,,City,Other,Wiccan
R_2vhP6zLybrxGXmk,,,European/Causasian,,,,,,,Suburb,Jewish,
R_2vivfyrRsZddGJq,,,,,,,,,,,,
R_2VIyOb1KefTCjk5,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2VsyuAn5uBJ8zLz,,,European/Causasian,,,,,,,City,Jewish,
R_2w5XYBNoHQd0OOK,,,,,,,,,,,,
R_2wELvtDxuKvzOov,,,,,,,,,white,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2wmEYjn8pVPO3kQ,,,,,,,,,,,,
R_2xPmdWlEAeau8qN,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2xPOD2HXDxW2aXg,,,European/Causasian,,,,,,,Rural area,Spiritual practice not associated with a specific religion,
R_2xQTeerPsMidTA3,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2xVuTegJ4AIR8rK,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2y46O0eD94RiJei,,,European/Causasian,,,,,,,City,Muslim,
R_2Y4JrPeodTFI9eP,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2Y5GJeKVD2rB4Lw,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2Y9X5YxWQx9B7Ph,African American or Black,Asian,,,,,,,,Suburb,Do not actively practice a particular religion,
R_2ydpAyS7NEd0doP,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2YERtpuT9SGvUP6,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_2YJ0QGJJgUa6TOx,,,European/Causasian,,,,,,,Suburb,Buddhist,
R_2YQSypzhMdSOQad,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_2yr5oTxHySP7CJW,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_2ZBPYapHaSbkf3d,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_2ZCuT1FVp5dbCWw,African American or Black,,,,,,,,,City,Spiritual practice not associated with a specific religion,
R_2zewNyviwXsg2R1,,,,,,,,,,,,
R_2zou18rKqL8mKn5,,,,Indian,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_2zRSn2H8N5guZu0,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_300Q8txQuP8qVu9,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_30iOa5mNkBKvotd,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_30oVX0RhYC538GV,,Asian,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_31BMrqrsmUOiPDm,,,,,,,,,,,,
R_31yHRIFbEEEV3br,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_31yJ5LyqEtY3Yig,,Asian,,,,,,,,City,Hindu,
R_332d5HPzTzOSMYL,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_339Ehkh8rSV2vkZ,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_33dRbdZDwFuSnlw,,,,,,,,,,,,
R_33gprFYDDHLXbOZ,,,,,,,,,,,,
R_38ixXfkmgFf2Pfz,,,European/Causasian,,,,,,,Rural area,Other,
R_391bWRn7rhIWXKN,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3CVFgmkh1KESHtj,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3DvFgel1oafumP7,,Asian,,,,,,,,Suburb,Do not actively practice a particular religion,
R_3dVUlExKVRfv9O0,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3e90UF3pnxuNCay,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3EA2tfDqrrk8BgR,,,European/Causasian,,,,,,,Suburb,Muslim,
R_3EARlchzFrV5meX,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3EBdfZ9r6CiFgui,,,European/Causasian,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_3egaWFy4ktjZEhn,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_3ELMOHmCnZCcOUt,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_3ErRwY1p42fIkOn,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3Eu6GFdYJJa5mW1,,,European/Causasian,,,,,,,City,Jewish,
R_3EzrGEfgmOFriSo,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3F2qSuvCAtu4NUW,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3frAzNeMXzVXcD5,,Asian,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3FUwJFGE0JyezAV,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3fvemKUP59kSWkW,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3g1uKkmkORbyz19,,,,,,,,,,,,
R_3Gf8684MGwdsLG4,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3GjjkBTJNnDMMAR,,Asian,,,,,,,,City,Do not actively practice a particular religion,
R_3GjtMBRh5xFp7u7,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3Gk5aDN3yWKpFko,,Asian,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3gLbzTu5b8m9bOL,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3GrBbYl5ImcUSUj,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3GwwAvFOY6CIIGe,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3h6nR7W9bNSIwtO,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3hAubyamwEyrs2v,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3HFZgZhvzzegHTC,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3hGbVqTYGqpQJur,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3hgUzVaqL1VcKVD,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3HjcS1L0b6FhH0A,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3hmySvvQscTAANC,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3HNX9TSj3EddJFq,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3HTauhJF22oyudi,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3I0lIR1G45tXnY7,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3iCrqxnHR4h5HuX,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3iCsw6Qm0kt9f8E,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3iIFzPPow4RYINw,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3iVvTP9emMBRPIH,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3IWDhkm8GCAVtHs,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3iWLilBV51NtPzk,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3J2WbNhX4GafmOk,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3j3eg20T8t9m1mX,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3j6yVPSsIsk1RPQ,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3J7NTxeTC4fSMEz,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3j8vdov5Yw68vuc,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_3jdOKrMOhBT88VX,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3JDVT4QQB5BkmHw,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3jeMNM6TnfDXA5X,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3JFBN87Ei6LHnyh,,,,,Middle Eastern,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3JfSl5ijugCPntD,,,,,,,,,,,,
R_3JgivYwsiXMvtUn,,Asian,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_3JJCxQNrALYa2Lr,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3JlvRujWZvtF578,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3JlYkkrnk8CEWYa,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3JmyAxg8dfRi74E,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3jTEd8dZQub39o5,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_3k0yDbBIHBmHji8,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3kAFkaXd4QA4gl7,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3khbsCkXBCvLWDu,,Asian,,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3KJGRd5n2qu2a1b,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3koKWO3LiCEGnA9,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3KqDCFgMW0lYLwF,,,,,,,,,,,,
R_3kwcrKadgcMRUhe,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3kz9qIpgtvo2hFf,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3Lj6wea49NdFsM7,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3lMkQXVi2Ytd2zM,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,Do not actively practice a particular religion,
R_3LXDbub4fq9CweZ,,,European/Causasian,,,,,,,Suburb,Jewish,
R_3lYy1VQY7yLSjtw,,,,,,,,,,,,
R_3m3OCYG1f1XjPa4,African American or Black,,,,,,,,,Rural area,Do not actively practice a particular religion,
R_3m8IDWwquqnLRpx,,,,,,,,,,,,
R_3m8LLSeS08pLoNe,,,,,,,,,Mixed,City,Do not actively practice a particular religion,
R_3M9ckP8mcDpDm13,African American or Black,,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3mfqNRvYz0juyV6,,,,,,,,,,,,
R_3MGyVB5wHuXtP4P,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3MhBSKgf6qf7Frp,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3MKZ24HdRJ4KNde,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3MLnZIzsRGfqK4g,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3mlupnoS0p1Mk13,,Asian,,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3MPZ8ndUbwp1L05,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3MrhOWOJnJ49hdf,,,European/Causasian,,,,Native American,,,Suburb,Do not actively practice a particular religion,
R_3MxlMNKvWIV2J4Y,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3MzYFMSojGXS6f9,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3NCz78OMTaBUAPM,,,European/Causasian,,,,,,,Suburb,Other,Jehovah's Witness
R_3njCE5x6LuXb6PT,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3npIW1EKcxro1HK,,,,,,"Latino, Hispanic, or Spanish",,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3nTUWrljCEeIeBx,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3nvlhIPPwumjwep,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3NVSnXVTrWiffFm,,,,,,,,,,,,
R_3NW1S4v7KaaJZ3F,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3NxD30epqRDPXjX,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_3NypH1TMtCGuIFH,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3O6vMXnJL6VTsM4,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_3O9zpFY7VJtSm1i,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3oEJ1LBAd70jIB6,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3oFxmrzyW0IJHZX,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_3OjZ5ykeJlOQy4v,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_3oWTUZKvOVF38a4,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_3oZ6z8bHb6LHWPX,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3PAFR6JlmFQQIp5,,,,,,,,,,,,
R_3plhSpmbSOAfs7S,,,European/Causasian,,,,,,,City,Spiritual practice not associated with a specific religion,
R_3Ppdu2TKtfjeIAK,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3PpkPyOSbJwdDRp,,,,,,,,,,,,
R_3psUIsTDL3wMrBm,,,,,,,,,,,,
R_3PYbiX52HHcj4WY,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3qBEwRTVugY1bR5,,,,,,,,,Mixed,Suburb,Do not actively practice a particular religion,
R_3qfkQcHvgtP2xaO,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3qgniHKvUwlURt6,,,,,,,,Pacific Islander,,City,Do not actively practice a particular religion,
R_3QSfJ4SRMWCNJ4I,,Asian,,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_3qvz2cWHuDkcG3z,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3QW99pKf0ybWSEe,,,,,,,,,,,,
R_3qx6h8d4oWsrVuN,,,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_3rIiIMe067p6vRq,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3RmdJjqQJzAjNnP,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_3rUiSCPIowPKZNJ,,,European/Causasian,,,,,,,Rural area,"Christian (Catholic, Protestant, etc.)",
R_41S6rpOhO1xmBuV,,,,,,,,,,,,
R_4JhRfSeCvgKhPqx,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_4MyjCmhVdcX6T2V,,,,,,,,,,,,
R_4VhHypo93MBGi3f,,,,,,,,,,,,
R_560q7tYQfaTDlCh,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_57Mc45PO4WUoDhH,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_57usi7Fy3cj4Wl3,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_5sUe2IvgihuSYV3,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_5uQhrflsA3R9wFX,,,,,,,,,,,,
R_6D7MKqvfiyGu4s9,,,European/Causasian,,,,,,,Suburb,Do not actively practice a particular religion,
R_6DSlUP0etxjOPjH,,,,,,"Latino, Hispanic, or Spanish",,,,City,"Christian (Catholic, Protestant, etc.)",
R_6Foj8X2SuQJVGUh,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_6hzq8wkzLvUgHdv,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_6J1YK56WIJZppiF,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_6tnb5NKvBIcNrXz,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_6Woiqvg8pVFHqzn,,Asian,European/Causasian,,,,,,,Suburb,Spiritual practice not associated with a specific religion,
R_6xk3f5eBIp5BLBn,,Asian,,,,,,,,Suburb,Do not actively practice a particular religion,
R_6YJi6wmRaCH6Tbb,,,,,,,,,multi racial,City,"Christian (Catholic, Protestant, etc.)",
R_7NU4G1SrcPZycpP,,,,,,,,,,,,
R_7NwzqUC7rq9vfXP,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_80To2xRwnHMEJTH,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_82F5FvYAZgHCjhD,,,,,,,,,,,,
R_82JXJDa5C4cpcjf,,,European/Causasian,,,,,,,Suburb,Jewish,
R_8eVitHCBQgTySHL,,,European/Causasian,,,,,,,Rural area,Do not actively practice a particular religion,
R_8kTceCYmsZqFwpb,,,European/Causasian,,,,,,,City,Do not actively practice a particular religion,
R_9nmGcO4JmgMaSEp,,,,,,,,,,,,
R_9o5UnudaNWnx9It,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_A6j7wt9keXvkvqp,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
R_a8KhGjanFpHIx7H,,,European/Causasian,,,,,,,Suburb,"Christian (Catholic, Protestant, etc.)",
R_abZ7l6o5gnIxE9H,,,European/Causasian,,,,,,,Suburb,Other,Hellenic Pagan
R_AcA6a2SvY1hBThf,,Asian,,,,,,,,City,Do not actively practice a particular religion,
R_Acxzavl5VUW2OWJ,,,European/Causasian,,,,,,,City,"Christian (Catholic, Protestant, etc.)",
